shapeid,x,y,address
192,-73.7509173728,40.7776609384,214 Grosvenor Road
193,-73.7759648158,40.7557418994,46-14 Clearview Expressway
194,-73.7469668268,40.7705558685,88 Prospect Avenue
195,-74.0027213487,40.7061859881,95 Marginal Street
196,-73.9835981945,40.6907120451,436 Albee Square
197,-74.0010422528,40.7580690146,601 West 37th Street
198,-73.7824144989,40.77034836,32-43 207th Street
199,-73.8458431384,40.7810976816,20-19 122nd Street
200,-73.9979757858,40.6209157305,1540 Ovington Avenue
201,-74.0076727718,40.6265827343,1102 68th Street
202,-74.0094697356,40.6276826292,1024 68th Street
203,-73.9005070619,40.6574032224,1663 Linden Boulevard
204,-73.8528029511,40.8305613161,2112 East 177th Street
205,-73.8165752221,40.8221042295,3077 East 177th Street
206,-73.8550752681,40.8989431287,677 East 238th Street
207,-73.8104260726,40.7593206583,155-19 43rd Avenue
208,-73.8274062742,40.7906265425,141-47 Center Drive
209,-73.8453522396,40.790242182,7-19 122nd Street
210,-73.7744403118,40.7518202548,48-49 205th Street
211,-73.8215532258,40.7904639353,10-23 Whitestone Expressway
212,-73.7519873083,40.7750085472,235-11 35th Avenue
213,-73.9022245156,40.7255396126,61-54 55th Drive
214,-73.771891959,40.7465239301,58-9 205th Street
215,-73.7717572549,40.7462448665,58-21 205th Street
216,-73.7386217845,40.6695461803,234-11 138th Avenue
217,-73.7975813065,40.6884618005,110-21 Liverpool Street
218,-73.7503682003,40.7309100576,218-21 Grand Central Parkway
219,-73.7476973574,40.7760534891,322 34th Avenue
220,-73.822070204,40.6045402512,46 12th Road
221,-73.8172938932,40.5854042698,195 Cross Bay Parkway
222,-73.8627528182,40.7184527588,85-14 Fleet Street
223,-73.7479151772,40.7777430815,240-45 32nd Avenue
224,-73.7490523941,40.7792821349,347 Douglas Road
225,-73.752564546,40.7741019076,8 Shore Road
226,-73.7808564809,40.764662488,36-34 206th Street
227,-73.7382991865,40.769011245,43-22 250th Street
228,-73.7757378084,40.751575057,48-46 204th Street
229,-73.8441296925,40.7147124131,104-11 72nd Road
230,-73.9957094718,40.7677631296,710 12th Avenue
231,-73.7497696713,40.775738652,237-30 34th Avenue
232,-73.9523438509,40.6109218844,2102 Kings Highway
233,-73.842774952,40.8398099085,136 Westchester Square
234,-74.0028813845,40.6239242152,1315 68th Street
235,-74.0059836129,40.625515311,1178 68th Street
236,-73.8576716681,40.8320407446,1974 East 177th Street
237,-73.8018425241,40.676310621,118-17 139th Street
238,-73.8490243394,40.7923664306,119-50 5th Avenue
239,-73.8397505413,40.7159240098,16 Park End Place
240,-73.7467768189,40.7779230598,375 32nd Avenue
241,-73.9177171553,40.5605419184,10-6 Bayside Street
242,-73.7517757883,40.78112103,235-26 26th Avenue
243,-73.8223289838,40.7258282884,141-37 72nd Road
244,-73.7765825942,40.7591510583,43-15 207th Street
245,-73.7784104779,40.7146131424,87-18 Dalny Road
