"shapeid","x","y","house_num","special_co","streetname"
"3298","-74.1514012141","40.6143944688","411-01","A","WILLOW ROAD EAST"
"3299","-74.1518287343","40.6132261104","473-02","A","WILLOW ROAD EAST"
"3300","-74.1516486355","40.612929792","483-01","A","WILLOW ROAD EAST"
"3301","-74.0851721178","40.6242167317","636","A","VAN DUZER STREET"
"3302","-74.1299267029","40.6003445958","291","A","WELLBROOK AVENUE"
"3303","-74.2020491761","40.554644787","154","A","CODY PLACE"
"3304","-74.2020709921","40.5539681652","62","A","CODY PLACE"
"3305","-74.1431956118","40.5547854874","294","A","TIMBER RIDGE DRIVE"
"3306","-74.1432211344","40.5548034709","292","A","TIMBER RIDGE DRIVE"
"3307","-74.1431024637","40.5547609496","298","A","TIMBER RIDGE DRIVE"
"3308","-74.22223715","40.5355335902","96","A","ROBIN COURT"
"3309","-74.144991485","40.5532797493","34","A","STERN COURT"
"3310","-73.7300870243","40.6647025118","248-010","A","HOOK CREEK BOULEVARD"
"3311","-73.8290519681","40.710493249","109","A","82 DRIVE"
"3312","-73.9068134061","40.7090733494","556","A","GRANDVIEW AVENUE"
"3313","-73.7512097028","40.7783754902","202","A","WARWICK AVENUE"
"3314","-73.7459524151","40.7711543799","324","A","CHERRY STREET"
"3315","-73.7510225092","40.7762339987","200","A","MANOR ROAD"
"3316","-73.839247536","40.7163748015","204","A","BURNS STREET"
"3317","-73.7519064417","40.7776261496","122","A","GROSVENOR STREET"
"3318","-73.8800461374","40.7047470518","2904","A","CENTRAL AVENUE"
"3319","-73.7502952719","40.7721899264","2","A","38 ROAD"
"3320","-73.8470653764","40.7867413119","11","A","BEECH COURT CIRCLE"
"3321","-73.8429930913","40.7141033953","150","A","ASCAN AVENUE"
"3322","-73.8301440861","40.7116844051","109","A","82 AVENUE"
"3323","-73.8392749066","40.7118243385","46","A","WENDOVER ROAD"
"3324","-73.8389309696","40.7161551616","218","A","BURNS STREET"
"3325","-73.8635101254","40.6794854468","97-58","A","DREW STREET"
"3326","-74.0043848552","40.6550855066","168","A","35 STREET"
"3327","-73.9184636035","40.7780679446","112","A","23 AVENUE"
"3328","-73.905410462","40.7082485292","602","A","GRANDVIEW AVENUE"
"3329","-73.7522069406","40.7787023897","101","A","WARWICK AVENUE"
"3330","-73.7788597201","40.7172371086","185-036","A","CHELSEA STREET"
"3331","-73.7848685958","40.8380244714","1","A","ROCHELLE STREET"
"3332","-73.9629199088","40.63496515","39","A","NEWKIRK PLAZA"
"3333","-73.8482329139","40.8143647028","329","A","HOWE AVENUE"
"3334","-73.857290403","40.8088619701","1521","A","UNDERHILL AVENUE"
"3335","-73.9645439861","40.5794851723","8","A","BRIGHTON 3 PLACE"
"3336","-73.9284324409","40.5863823866","2","A","PLUMB 3 STREET"
"3337","-73.9662670223","40.5783994391","9","A","BRIGHTON 1 COURT"
